Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
3.8,-3.1,61,94000,0,0,239,0,0,0,0,0,0,0,90,2,0,0,19.2,77777,9,0,139,0.068,0,88,0.17,0,1
3.6,-2.3,66,94000,0,0,240,0,0,0,0,0,0,0,360,1,0,0,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
2.9,-2.3,69,94000,0,0,238,0,0,0,0,0,0,0,23,1,0,0,19.2,77777,9,0,120,0.068,0,88,0.17,0,1
3.2,-1.4,72,93900,0,0,241,0,0,0,0,0,0,0,360,2,0,0,19.2,77777,9,0,120,0.068,0,88,0.17,0,1
3,-1.4,73,93900,0,0,240,0,0,0,0,0,0,0,23,2,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.4,-0.7,80,93900,0,0,239,0,0,0,0,0,0,0,338,2,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.1,-0.7,82,93900,0,0,238,6,0,6,661,0,661,120,23,1,1,0,19.2,77777,9,0,100,0.068,0,88,0.17,0,1
2.2,-2.3,72,93900,10,436,236,110,142,83,24792,14875,9917,1656,338,4,5,2,19.2,77777,9,0,100,0.068,0,88,0.17,0,1
3.5,-1.8,68,93900,185,1415,241,326,706,89,84661,74083,10578,1840,338,3,5,3,32,77777,9,0,100,0.068,0,88,0.17,0,1
5.4,-2.7,56,94000,394,1415,246,453,878,64,99769,92167,7603,1427,360,4,2,2,32,77777,9,0,110,0.068,0,88,0.17,0,1
6.5,-3.6,49,93900,555,1415,248,538,867,100,102900,91000,11900,2375,338,3,3,3,32,77777,9,0,110,0.068,0,88,0.17,0,1
7.9,-4,43,93900,655,1415,252,528,858,83,100042,90125,9917,2006,338,2,2,2,32,77777,9,0,110,0.068,0,88,0.17,0,1
8.2,-6.6,34,93800,688,1415,248,481,842,78,97631,88375,9256,1797,338,3,3,3,32,77777,9,0,110,0.068,0,88,0.17,0,1
8.1,-7.2,33,93800,651,1415,246,390,747,97,90028,78458,11569,2085,338,4,0,0,32,77777,9,0,110,0.068,0,88,0.17,0,1
7.6,-7.8,33,93800,546,1415,243,214,392,111,54347,41125,13222,2232,360,4,0,0,32,77777,9,0,110,0.068,0,88,0.17,0,1
7.2,-7.8,34,93700,382,1415,242,39,25,36,6922,2625,4297,731,338,3,0,0,32,77777,9,0,110,0.068,0,88,0.17,0,1
6.2,-8.4,34,93700,170,1415,237,0,0,0,0,0,0,0,360,3,0,0,32,77777,9,0,110,0.068,0,88,0.17,0,1
5.5,-8.4,36,93700,6,342,235,0,0,0,0,0,0,0,360,3,0,0,32,77777,9,0,110,0.068,0,88,0.17,0,1
4.7,-8.4,38,93700,0,0,232,0,0,0,0,0,0,0,360,4,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
4.1,-9.1,38,93700,0,0,229,0,0,0,0,0,0,0,360,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
3.6,-8.4,41,93700,0,0,229,0,0,0,0,0,0,0,360,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
3.1,-9.1,40,93700,0,0,226,0,0,0,0,0,0,0,360,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.7,-9.1,42,93700,0,0,224,0,0,0,0,0,0,0,338,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.9,-9.1,41,93700,0,0,225,0,0,0,0,0,0,0,338,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.3,-9.1,43,93700,0,0,223,0,0,0,0,0,0,0,360,3,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
2.1,-9.1,43,93700,0,0,222,0,0,0,0,0,0,0,360,2,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
1.6,-9.1,45,93700,0,0,221,0,0,0,0,0,0,0,360,2,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
0.6,-8.4,51,93600,0,0,219,0,0,0,0,0,0,0,293,2,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
0.2,-8.4,52,93600,0,0,218,0,0,0,0,0,0,0,315,1,0,0,19.2,77777,9,0,110,0.068,0,88,0.17,0,1
-0.3,-7.8,57,93600,0,0,217,0,0,0,0,0,0,0,293,1,0,0,19.2,77777,9,0,120,0.068,0,88,0.17,0,1
-0.5,-7.1,61,93700,0,0,218,17,0,17,1983,0,1983,360,315,1,0,0,19.2,77777,9,0,120,0.068,0,88,0.17,0,1
1,-9.1,47,93700,10,436,219,111,206,72,30178,21583,8594,1435,315,1,0,0,24,77777,9,0,120,0.068,0,88,0.17,0,1
3.1,-10.5,36,93700,185,1415,223,328,711,89,85244,74667,10578,1840,315,1,1,1,24,77777,9,0,120,0.068,0,88,0.17,0,1
5.5,-13.8,23,93700,395,1415,224,455,881,64,100061,92458,7603,1428,360,1,3,3,24,77777,9,0,120,0.068,0,88,0.17,0,1
6.7,-14.8,20,93700,556,1415,226,534,911,72,104261,95667,8594,1717,225,1,7,7,24,914,9,0,120,0.068,0,88,0.17,0,1
8,-15.9,17,93700,657,1415,228,544,908,72,103969,95375,8594,1742,338,1,8,8,24,823,9,0,120,0.068,0,88,0.17,0,1
8.7,-14.8,17,93600,690,1415,233,493,886,67,100975,93042,7933,1543,360,2,7,7,24,732,9,0,120,0.068,0,88,0.17,0,1
8.9,-14.8,17,93500,653,1415,233,390,792,78,92381,83125,9256,1671,23,1,5,5,24,77777,9,0,120,0.068,0,88,0.17,0,1
9.1,-12.9,20,93500,549,1415,238,228,450,108,60142,47250,12892,2178,23,1,5,2,24,77777,9,0,120,0.068,0,88,0.17,0,1
8.7,-8.4,29,93500,385,1415,246,44,53,39,10169,5542,4628,786,180,1,8,3,32,77777,9,0,120,0.068,0,88,0.17,0,1
8.2,-5,39,93500,174,1415,251,0,0,0,0,0,0,0,158,1,10,4,32,77777,9,0,129,0.068,0,88,0.17,0,1
6.6,-3.1,50,93500,7,366,249,0,0,0,0,0,0,0,180,1,10,4,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
6.5,-4,47,93600,0,0,247,0,0,0,0,0,0,0,158,1,7,2,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
8,-4,42,93600,0,0,252,0,0,0,0,0,0,0,113,1,8,3,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
7.8,-4,43,93600,0,0,252,0,0,0,0,0,0,0,90,1,7,2,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
5.2,-2.7,57,93600,0,0,245,0,0,0,0,0,0,0,338,1,8,3,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
4.8,-2.3,60,93600,0,0,245,0,0,0,0,0,0,0,338,1,9,4,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
3.3,-5,54,93600,0,0,234,0,0,0,0,0,0,0,293,1,9,4,19.2,77777,9,0,129,0.068,0,88,0.17,0,1
2.6,-5.5,55,93600,0,0,231,0,0,0,0,0,0,0,338,1,9,8,19.2,610,9,0,129,0.067,0,88,0.17,0,1
1.8,-5,61,93700,0,0,229,0,0,0,0,0,0,0,338,1,10,7,19.2,610,9,0,129,0.067,0,88,0.17,0,1
1.6,-5.5,59,93700,0,0,227,0,0,0,0,0,0,0,338,1,10,10,11.2,610,9,0,139,0.067,0,88,0.17,0,1
2.1,-5,59,93600,0,0,230,0,0,0,0,0,0,0,248,1,10,10,11.2,732,9,0,139,0.067,0,88,0.17,0,1
3.2,-5.5,53,93600,0,0,233,0,0,0,0,0,0,0,68,1,10,10,11.2,366,9,0,139,0.067,0,88,0.17,0,1
3,-5.5,54,93600,0,0,232,0,0,0,0,0,0,0,68,1,10,10,11.2,305,9,0,139,0.067,0,88,0.17,0,1
2.8,-6.1,52,93600,0,0,230,14,0,14,1653,0,1653,300,23,1,10,10,11.2,122,9,0,139,0.067,0,88,0.17,0,1
2,-5.5,57,93700,10,436,229,105,142,78,24131,14875,9256,1545,45,1,10,10,0.2,0,9,0,139,0.067,0,88,0.17,0,1
2.8,-5.5,54,93700,185,1415,231,315,631,103,78439,66208,12231,2128,360,1,10,10,0,0,9,0,139,0.067,0,88,0.17,0,1
5.6,-5.5,45,93800,395,1415,241,440,839,67,96017,88083,7933,1491,338,1,10,10,0.8,30,9,0,139,0.067,0,88,0.17,0,1
7.2,-5,42,93800,557,1415,248,515,850,83,99167,89250,9917,1984,68,1,10,10,0,0,9,0,139,0.067,0,88,0.17,0,1
12.7,-1.5,38,93800,658,1415,275,556,811,133,101033,85167,15867,3221,225,4,10,10,0,0,9,0,129,0.067,0,88,0.17,0,1
12.8,-1.1,38,93800,692,1415,277,365,278,231,56603,29167,27436,5346,225,5,10,10,0,0,9,0,129,0.067,0,88,0.17,0,1
12.8,0.1,42,93700,656,1415,279,171,25,161,21797,2625,19172,3466,225,4,10,10,0,30,9,0,129,0.067,0,88,0.17,0,1
12.7,0.1,42,93700,552,1415,279,89,0,89,10578,0,10578,1788,225,4,10,10,0.2,30,9,0,129,0.067,0,88,0.17,0,1
12.4,0.8,45,93700,389,1415,279,33,0,33,3967,0,3967,673,225,4,10,10,0.8,30,9,0,129,0.067,0,88,0.17,0,1
12.2,-0.3,42,93800,177,1415,276,0,0,0,0,0,0,0,225,5,10,10,1.2,61,9,0,129,0.067,0,88,0.17,0,1
11.9,0.4,45,93800,8,389,276,0,0,0,0,0,0,0,225,3,10,10,4,91,9,0,129,0.067,0,88,0.17,0,1
12,0.1,44,93900,0,0,276,0,0,0,0,0,0,0,225,3,10,10,4.8,152,9,0,129,0.067,0,88,0.17,0,1
12.4,-1.1,39,93900,0,0,275,0,0,0,0,0,0,0,225,4,10,10,6.4,274,9,0,120,0.067,0,88,0.17,0,1
8.8,-3.6,42,93900,0,0,256,0,0,0,0,0,0,0,338,1,10,10,6.4,274,9,0,120,0.067,0,88,0.17,0,1
6.8,-3.1,49,93900,0,0,250,0,0,0,0,0,0,0,293,1,10,10,8,274,9,0,120,0.067,0,88,0.17,0,1
6.7,-4,46,94000,0,0,248,0,0,0,0,0,0,0,0,0,10,10,9.6,335,9,0,120,0.067,0,88,0.17,0,1
5.3,-3.1,55,94000,0,0,245,0,0,0,0,0,0,0,315,1,10,10,9.6,274,9,0,120,0.067,0,88,0.17,0,1
9.3,-1.4,47,94000,0,0,263,0,0,0,0,0,0,0,225,4,10,10,9.6,274,9,0,120,0.067,0,88,0.17,0,1
11.3,1.4,51,94000,0,0,276,0,0,0,0,0,0,0,203,4,10,10,9.6,274,9,0,120,0.067,0,88,0.17,0,1
11.9,3.3,56,94000,0,0,283,0,0,0,0,0,0,0,225,5,10,10,9.6,274,9,0,120,0.067,0,88,0.17,0,1
12.9,4.2,55,94000,0,0,289,0,0,0,0,0,0,0,225,4,10,10,11.2,274,9,0,120,0.067,0,88,0.17,0,1
12.8,5,59,94000,0,0,290,0,0,0,0,0,0,0,225,4,10,10,11.2,274,9,0,110,0.067,0,88,0.17,0,1
12.5,5.5,62,94000,0,0,290,0,0,0,0,0,0,0,203,2,10,10,11.2,305,9,0,110,0.067,0,88,0.17,0,1
8.5,0.1,55,94000,0,0,263,0,0,0,0,0,0,0,338,1,10,10,11.2,305,9,0,110,0.067,0,88,0.17,0,1
6,-1.8,57,94100,10,436,250,28,0,28,3306,0,3306,552,338,1,10,10,11.2,305,9,0,110,0.067,0,88,0.17,0,1
7,-2.3,52,94100,185,1415,252,275,339,161,54756,35583,19172,3336,360,1,10,10,16,366,9,0,110,0.067,0,88,0.17,0,1
12.1,2.4,52,94200,395,1415,281,445,744,114,91719,78167,13553,2549,225,2,4,3,16,77777,9,0,110,0.067,0,88,0.17,0,1
15.5,4.7,49,94100,558,1415,300,408,392,208,65917,41125,24792,4966,180,1,7,0,16,77777,9,0,120,0.067,0,88,0.17,0,1
16.9,5.2,46,94100,660,1415,307,504,725,125,91000,76125,14875,3025,203,3,4,1,19.2,77777,9,0,120,0.067,0,88,0.17,0,1
17.3,4.4,43,94100,694,1415,307,466,778,89,92244,81667,10578,2065,203,1,2,1,32,77777,9,0,120,0.067,0,88,0.17,0,1
17.8,3.3,38,94000,658,1415,307,360,658,97,80694,69125,11569,2095,203,2,3,0,32,77777,9,0,120,0.067,0,88,0.17,0,1
15.5,3.6,45,94000,555,1415,298,199,417,86,53997,43750,10247,1734,23,4,5,1,32,77777,9,0,120,0.067,0,88,0.17,0,1
15.6,-0.7,33,94000,392,1415,289,43,39,39,8711,4083,4628,785,23,3,4,1,32,77777,9,0,120,0.067,0,88,0.17,0,1
14.1,-0.7,36,94000,181,1415,283,3,0,3,331,0,331,70,360,4,7,4,32,77777,9,0,120,0.067,0,88,0.17,0,1
12.4,-2.7,35,94000,9,389,272,0,0,0,0,0,0,0,338,4,5,3,32,77777,9,0,120,0.067,0,88,0.17,0,1
10.8,-5,33,94000,0,0,261,0,0,0,0,0,0,0,360,6,4,2,19.2,77777,9,0,120,0.067,0,88,0.17,0,1
9.3,-6.1,33,94000,0,0,253,0,0,0,0,0,0,0,338,4,4,3,19.2,77777,9,0,120,0.067,0,88,0.17,0,1
8.4,-7.8,31,94000,0,0,246,0,0,0,0,0,0,0,338,4,4,2,19.2,77777,9,0,120,0.067,0,88,0.17,0,1
7.7,-7.2,34,93900,0,0,245,0,0,0,0,0,0,0,338,4,4,3,19.2,77777,9,0,120,0.067,0,88,0.17,0,1
6.8,-6.6,38,93900,0,0,243,0,0,0,0,0,0,0,338,4,4,2,19.2,77777,9,0,129,0.067,0,88,0.17,0,1
6.3,-7.8,36,93900,0,0,239,0,0,0,0,0,0,0,338,4,4,4,19.2,77777,9,0,129,0.067,0,88,0.17,0,1
5.7,-8.4,35,93900,0,0,236,0,0,0,0,0,0,0,338,4,3,1,19.2,77777,9,0,129,0.067,0,88,0.17,0,1
5.3,-8.4,36,93900,0,0,234,0,0,0,0,0,0,0,338,4,4,2,19.2,77777,9,0,129,0.067,0,88,0.17,0,1
4.9,-9.1,36,93900,0,0,232,0,0,0,0,0,0,0,338,4,10,10,11.2,914,9,0,129,0.067,0,88,0.17,0,1
4.9,-12.1,28,93800,0,0,226,0,0,0,0,0,0,0,338,4,10,10,11.2,792,9,0,129,0.067,0,88,0.17,0,1
4.6,-11.3,31,93800,0,0,226,0,0,0,0,0,0,0,338,4,10,10,11.2,396,9,0,129,0.067,0,88,0.17,0,1
3.9,-10.5,34,93800,0,0,226,0,0,0,0,0,0,0,338,4,10,10,11.2,762,9,0,129,0.067,0,88,0.17,0,1
3,-8.4,43,93800,0,0,227,8,0,8,992,0,992,180,338,4,10,10,11.2,732,9,0,129,0.067,0,88,0.17,0,1
3.2,-9.1,40,93800,10,436,226,115,169,83,27708,17792,9917,1656,338,3,10,10,16,732,9,0,129,0.067,0,88,0.17,0,1
4.1,-9.8,36,93900,185,1415,228,326,706,89,84661,74083,10578,1841,338,3,10,10,19.2,853,9,0,129,0.067,0,88,0.17,0,1
5.4,-12.1,27,93900,396,1415,227,456,878,64,99769,92167,7603,1431,315,3,10,10,19.2,853,9,0,139,0.067,0,88,0.17,0,1
6.4,-12.1,25,93800,559,1415,231,537,911,72,104261,95667,8594,1724,338,4,10,10,24,1097,9,0,139,0.067,0,88,0.17,0,1
6.6,-12.1,25,93800,661,1415,231,557,919,75,105467,96542,8925,1819,338,2,10,7,24,7620,9,0,139,0.067,0,88,0.17,0,1
7.9,-12.1,23,93700,696,1415,236,503,892,69,101889,93625,8264,1617,360,4,10,8,24,3658,9,0,139,0.067,0,88,0.17,0,1
7.5,-12.1,24,93700,661,1415,234,396,842,58,95317,88375,6942,1259,338,3,10,9,32,3658,9,0,139,0.067,0,88,0.17,0,1
