地点,東京,緯度,35,経度,139,海抜,6.1,,
日時,乾球温度[C],絶対湿度[kg/kg(DA)],法線面直達日射量[W/m2],水平面天空日射量[W/m2],夜間放射量[W/m2],雲量(10分比),風向(degree),風速[m/s],大気圧[atm]
38718 ,2.9,0.0017,0,0,125,0,90,1.9,102.34
38718 ,2.8,0.00164,0,0,125.5,0,158,2.7,102.29
38718 ,2.6,0.00162,0,0,47.6,10,-158,2.6,102.28
38718 ,2,0.00168,0,0,123.6,0,180,3.7,102.25
38718 ,1.2,0.00179,0,0,121,0,158,2.4,102.24
38718 ,1.1,0.00186,0,0,68,7,158,3.3,102.25
38718 ,1.3,0.00184,0,0,120.7,0,158,1.1,102.23
38718 ,1.6,0.0018,38,29.5,121.6,0,158,1.9,102.23
38718 ,2,0.0019,29.9,75.4,46.1,10,180,3,102.21
38718 ,2.4,0.00177,43.3,127.2,123.3,0,158,1.3,102.18
38718 ,3.4,0.00186,50.1,164.5,124.3,0,158,1.7,102.09
38719 ,3.8,0.00191,12.7,123.9,47.3,10,158,4,101.97
38719 ,4.4,0.00195,5.6,94.3,125.2,0,-158,2.6,101.85
38719 ,4.4,0.0019,2.4,62.8,125.7,0,180,2.5,101.84
38719 ,5.2,0.00212,7.4,66.9,47.5,10,180,3.5,101.81
38719 ,5.2,0.00212,3.5,29.8,125,0,180,3.1,101.8
38719 ,5.2,0.00223,0.4,8.3,123.9,0,-158,1.5,101.71
38719 ,5.3,0.00224,0,0,47.1,10,135,3.3,101.79
38719 ,5.2,0.00217,0,0,124.5,0,158,3.3,101.76
38719 ,5.1,0.00216,0,0,124.4,0,135,2.8,101.71
38719 ,5.2,0.00217,0,0,47.3,10,158,1.8,101.63
38719 ,5.1,0.00243,0,0,121.9,0,113,1.4,101.64
38719 ,4.9,0.00282,0,0,118.1,0,158,3.5,101.58
38719 ,4.8,0.00265,0,0,119.4,0,158,2.8,101.43
38719 ,4.1,0.00278,0,0,117.2,0,158,2.8,101.41
38719 ,4.2,0.00244,0,0,120.3,0,158,1,101.29
38719 ,4,0.00256,0,0,45.2,10,158,2,101.16
38719 ,4.1,0.00243,0,0,120.3,0,158,3.1,101.07
38719 ,4,0.00241,0,0,120.2,0,135,3.1,100.96
38719 ,4.1,0.00243,0,0,45.7,10,158,1.1,100.87
38719 ,3.9,0.0026,0,0,118.4,0,180,1.1,100.79
38719 ,4.2,0.00245,1.4,11,120.3,0,-158,2.6,100.75
38719 ,3.8,0.00249,7.6,50.8,45.3,10,135,4,100.77
38719 ,4.1,0.00259,0.5,33.1,118.9,0,135,0.4,100.79
